CODE_QUARTIER;INCOME_1;INCOME_2;INCOME_3;INCOME_4;INCOME_5;INCOME_6;INCOME_7;INCOME_8;INCOME_9;INCOME_10;INCOME_11;INCOME_12;INCOME_13;INCOME_14;INCOME_15;INCOME_16;FAMILIES_1;FAMILIES_2;FAMILIES_3;FAMILIES_4;FAMILIES_5;FAMILIES_6;FAMILIES_7;FAMILIES_8;FAMILIES_9;FAMILIES_10;POP_IN_LABOUR_FORCE_CIVIL_EMP;POP_IN_LABOUR_FORCE_CIVIL_UNEMP;POP_IN_LABOUR_FORCE_ARME;POP_OUT_LABOUR_FORCE;OCC_1;OCC_2;OCC_3;OCC_4;OCC_5;IND_1;IND_2;IND_3;IND_4;IND_5;IND_6;IND_7;IND_8;IND_9;IND_10;IND_11;IND_12;IND_13;WORKER_1;WORKER_2;WORKER_3;WORKER_4;0_VEHICLE;1_VEHICULE;2_VEHICULE;3_MORE_VEHICULE;SEXE_M;SEXE_F;TR1_AGE ;TR2_AGE ;TR3_AGE ;TR4_AGE ;TR5_AGE ;TR6_AGE ;TR7_AGE ;TR8_AGE ;TR9_AGE ;TR10_AGE ;TR11_AGE ;TR12_AGE ;TR13_AGE ;RELATION_HOUSEHOLDER;RELATION_SPOSE;RELATION_CHILD;RELATION_OTHER;RELATION_NORELATIVE;RELATION_NORELATIVE_UNMARRIED;SCHOOL_BEFORE;SCHOOL_KINDERGARDEN;SCHOOL_ELEMENTARY;SCHOOL_HIGH;SCHOOL_COLLEGE;EDUC_1;EDUC_2;EDUC_3;EDUC_4;EDUC_5;EDUC_6;EDUC_7;OWNER_OCC;RENTER_OCC;1_UNIT_DET;1_UNIT_ATT;2_UNITS;3_4_UNITS;5_9_UNITS;10_19_UNITS;20_MORE_UNITS;MOBILE_HOME;BOAT_RV_VAN
BK72;1726;1558;1411;999;1035;672;389;318;81;110;6354;1584;269;825;385;4501;976;1312;1260;937;899;634;316;303;81;95;7970;437;0;10160;2674;1014;3347;239;696;62;222;849;523;1092;172;130;545;654;2931;243;422;125;7171;524;275;0;6108;2075;107;9;16820;16008;6163;3773;3620;3279;3064;3960;2416;2161;1306;987;796;770;533;8299;5555;17406;1007;296;230;1708;1105;5890;3200;1844;1889;2398;4915;2244;483;577;423;1147;7152;319;338;748;2276;776;466;3961;43;12
BK73;2200;1407;2018;1715;2060;3013;1928;2461;1117;1253;15944;3104;716;1459;659;4812;788;836;1373;999;1195;1062;652;862;402;522;25281;1754;27;10751;13240;4133;5817;824;1267;13;813;1167;639;2392;693;2199;1911;5346;4250;4125;1105;628;20648;2094;2438;101;13728;4837;565;42;22290;23780;3017;2480;2315;2361;4123;13445;7162;4860;1684;1405;1683;1014;521;19172;5109;11760;2867;6966;2172;578;619;3641;2215;2800;3418;3086;4676;4218;1205;9827;5344;2866;16306;497;416;1247;3156;3991;2111;9422;104;0
BK76;1270;711;1238;1410;1484;2868;2286;2171;955;731;12700;2418;917;462;194;801;355;182;505;689;681;1096;777;1259;372;414;19849;1289;10;7519;9383;3080;4344;1691;1351;18;1715;978;412;1817;561;1975;1188;3504;3388;2717;1012;564;16333;1853;1619;44;10019;4193;778;134;15499;16023;937;878;914;879;2653;10463;4465;4068;2045;1519;1314;986;401;15124;4603;5410;1531;4639;1357;163;213;1305;866;2746;1554;1234;4658;3362;2170;7844;4439;2859;12265;363;522;1997;4409;7816;1183;973;39;0
BK90;1481;1265;1927;1471;1600;2484;1679;1871;701;409;11519;3508;1379;1103;553;3019;444;614;1042;885;841;1103;549;849;266;172;18002;1709;16;9704;8032;3614;4005;885;1466;0;761;1192;513;1392;611;1631;1200;3091;3056;3346;744;465;14646;1653;1659;44;10397;3694;703;94;15587;17568;1341;913;1342;1460;3038;9522;4605;3482;1575;1450;2128;1741;558;14888;3931;6991;2137;4822;1338;341;289;1620;1261;2919;3106;2858;5061;3477;1247;6223;3089;2396;12492;339;647;1679;2673;4470;1062;4923;0;21
BK09;580;195;628;537;775;1430;1249;1921;1115;2916;9630;2402;1466;114;106;230;38;50;77;105;72;373;363;790;753;2163;14060;788;0;5902;10086;910;2568;282;214;0;163;243;216;669;293;1269;2346;3787;2902;893;567;712;10844;1569;1647;0;8194;2801;290;61;11805;11693;1538;543;547;1109;1464;5809;4242;2564;1446;1355;1610;854;417;11346;4292;3775;646;1309;728;412;90;922;515;2393;203;123;1396;1283;640;6387;8265;4957;6389;98;451;462;1155;1897;1541;7131;0;0
BK38;1784;787;1274;995;1357;1575;1502;2084;1369;2358;12308;2667;1300;1191;701;3078;675;395;711;473;742;648;525;880;765;1578;18202;2042;0;9200;11354;2170;3678;399;601;0;290;826;452;1434;339;1432;2024;3832;4244;1725;803;801;14079;2287;1817;19;10868;3647;524;46;17227;18146;2145;2038;1487;1448;2276;8988;6349;4529;1339;1505;1857;928;484;15085;4214;8252;2021;3319;1444;455;464;2855;1119;2691;2065;2117;3972;2952;959;7423;6491;3675;11410;235;589;1326;2266;1618;939;10051;9;0
BK68;1405;834;989;1196;926;1593;1234;1734;816;833;8967;2427;1029;1024;636;2442;569;421;449;449;490;680;592;856;342;588;13331;1780;0;7582;7626;2419;2437;304;545;6;260;456;111;1070;406;1129;811;2241;3880;1508;735;718;10104;2148;1079;0;8003;2941;470;146;11367;15615;1640;1200;1285;1521;2329;6268;4293;2867;1169;1373;1575;1036;426;11560;2591;5766;2571;2228;853;398;445;1770;893;2864;1591;2058;2807;2412;976;4455;4708;2531;9029;157;360;1131;2667;1437;842;6495;0;19
BK69;1480;749;1379;1236;1603;2432;1741;2123;1211;983;11863;2974;1767;615;289;1926;326;259;597;479;660;1102;778;1011;717;607;19069;1951;0;9884;10533;3002;3852;620;1062;38;551;548;337;1484;841;1348;1609;3674;4428;2447;850;914;14175;3189;1705;0;8877;4984;793;283;17412;19001;2191;1762;1290;1911;4569;8290;6195;3367;1850;1704;1952;807;525;14937;3836;7459;2898;5429;1544;574;377;2407;928;5537;1107;1629;3887;4039;1138;7351;5539;5018;9919;334;922;1893;4182;2263;1213;6144;12;43
BK35;4370;1840;3148;2422;3232;3636;2298;2134;854;426;16989;5819;2730;2776;2253;8318;2093;878;1982;1310;2055;2306;1586;1434;676;337;25298;4787;31;19712;8070;7133;6035;1553;2507;0;1334;761;512;2473;1922;582;1884;2727;8092;1816;1263;1932;17865;5933;1500;0;16239;6721;1147;253;28872;35459;4878;4337;4312;4478;5326;10603;9019;8682;3422;3064;3961;1652;597;24360;5038;19804;10115;4320;1368;1196;904;6844;4281;4360;4071;5759;12516;7226;2581;5917;2930;5608;18752;515;1431;5641;8523;4805;2029;5540;0;0
BK75;3845;2241;3186;2725;3049;4088;2099;2005;580;407;18619;4690;2130;2445;1833;8447;1787;1413;1921;1841;2157;2598;1292;1194;420;280;27423;3606;0;19832;9059;6978;7310;1745;2331;69;1259;1020;644;3053;1701;1154;1814;2716;8647;2913;1032;1401;21053;4984;1363;23;16371;6642;981;231;33241;36854;7277;5714;5326;5255;6497;12341;9768;7375;2597;2716;3003;1786;440;24225;6653;26406;7212;4798;1405;1844;1435;9081;4778;4961;3963;5725;11362;7311;2280;5993;3392;4784;19441;468;1263;3612;8866;3724;3836;6443;16;26
