"","camis","dba","boro","building","street","zipcode","phone","x","address"
"1",50015341,"FORMERLY CROWS","MANHATTAN",85,"WASHINGTON PL",10011,1917783432,11,"85,WASHINGTON PL,NY"
"2",50043754,"THE BIG STAR DRIVE-IN","BRONX",1987,"UNIVERSITY AVE",10453,2012207599,1,"1987,UNIVERSITY AVE,NY"
"3",50019201,"CHARLEY'S GRILLED SUBS","QUEENS",9015,"QUEENS BLVD",11373,2012335992,3,"9015,QUEENS BLVD,NY"
"4",50036379,"HOUSE OF THAI","QUEENS",2501,"40TH AVE",11101,2012565165,3,"2501,40TH AVE,NY"
"5",50033552,"YUZU","MANHATTAN",350,"LENOX AVE",10027,2012903230,4,"350,LENOX AVE,NY"
"6",50012426,"ALPHAVILLE","BROOKLYN",140,"WILSON AVE",11237,2013042844,11,"140,WILSON AVE,NY"
"7",50043445,"STERLING AFFAIR","MANHATTAN",216,"FORT WASHINGTON AVE",10032,2013720734,1,"216,FORT WASHINGTON AVE,NY"
"8",50005980,"DUNKIN' DONUTS","BRONX",568,"WEST  235 STREET",10463,2013811335,3,"568,WEST  235 STREET,NY"
"9",50014761,"SUBWAY","STATEN ISLAND",86,"GUYON AVE",10306,2014248581,5,"86,GUYON AVE,NY"
"10",41718493,"ON TRACK BAR (O.T.B.)","BROOKLYN",141,"BROADWAY",11211,2014868830,12,"141,BROADWAY,NY"
"11",50002559,"PARIS BAGUETTE","MANHATTAN",567,"7TH AVENUE",10018,2015074805,5,"567,7TH AVENUE,NY"
"12",50006439,"NUTRI GLOBAL","MANHATTAN",1653,"SAINT NICHOLAS AVE",10040,2015198773,5,"1653,SAINT NICHOLAS AVE,NY"
"13",50002402,"MEXICAN FESTIVAL","MANHATTAN",2672,"BROADWAY",10025,2015220482,4,"2672,BROADWAY,NY"
"14",50044992,"DUNKIN DONUTS","MANHATTAN",42,"BROADWAY",10004,2015282436,1,"42,BROADWAY,NY"
"15",50032966,"DUNKIN' DONUTS","MANHATTAN",625,"8TH AVE",10018,2015282436,1,"625,8TH AVE,NY"
"16",50010095,"RAMEN LAB","MANHATTAN",70,"KENMARE ST",10012,2015301100,2,"70,KENMARE ST,NY"
"17",50013970,"CAFFE BENE","MANHATTAN",39,"W 32ND ST",10001,2015431827,9,"39,W 32ND ST,NY"
"18",50013377,"A.W.O.L. All Walks of Life","BROOKLYN",336,"GRAHAM AVE",11211,2015606881,4,"336,GRAHAM AVE,NY"
"19",40827050,"SUBWAY","MANHATTAN",106,"GREENWICH STREET",10006,2016545901,19,"106,GREENWICH STREET,NY"
"20",50043627,"NY BRAT FACTORY","MANHATTAN",933,"AMSTERDAM AVE",10025,2016581812,1,"933,AMSTERDAM AVE,NY"
"21",50039955,"MARONI HOT POTS","MANHATTAN",307,"E 77TH ST",10075,2016758771,1,"307,E 77TH ST,NY"
"22",50044527,"CAFE ARTE","MANHATTAN",75,"WALL ST",10005,2016760335,1,"75,WALL ST,NY"
"23",41714254,"TEQUILA'S FLAVOR","STATEN ISLAND",226,"PORT RICHMOND AVE",10302,2016801307,20,"226,PORT RICHMOND AVE,NY"
"24",41720694,"CREATIVE CONCEPTS NYC","QUEENS",3513,"VERNON BOULEVARD",11106,2016865900,24,"3513,VERNON BOULEVARD,NY"
"25",50015515,"ARABICA HOOKAH LOUNGE & RESTAURANT INC","STATEN ISLAND",4162,"VICTORY BLVD",10314,2016993300,2,"4162,VICTORY BLVD,NY"
"26",41573739,"CREPERIE","MANHATTAN",112,"MACDOUGAL STREET",10012,2017231055,10,"112,MACDOUGAL STREET,NY"
"27",50045117,"COUSINS NYC","MANHATTAN",1514,"1ST AVE",10075,2017363033,1,"1514,1ST AVE,NY"
"28",50034497,"750 MYRTLE DINER","BROOKLYN",750,"MYRTLE AVE",11205,2017599585,8,"750,MYRTLE AVE,NY"
"29",50044345,"DUNKIN DONUTS","MANHATTAN",321,"BROADWAY",10007,2018159686,1,"321,BROADWAY,NY"
"30",50013752,"DUNKIN' DONUTS","QUEENS",12117,"LIBERTY AVE",11419,2018159686,11,"12117,LIBERTY AVE,NY"
"31",41582117,"PANERA BREAD","QUEENS",6135,"JUNCTION BOULEVARD",11374,2018184669,25,"6135,JUNCTION BOULEVARD,NY"
"32",50041134,"DAILY WAFFLE","QUEENS",3408,"UNION ST",11354,2018881292,5,"3408,UNION ST,NY"
"33",50013240,"SUBWAY","STATEN ISLAND",6390,"AMBOY RD",10309,2018883464,3,"6390,AMBOY RD,NY"
"34",50012059,"L.A. GOURMET","MANHATTAN",111,"E 58TH ST",10022,2019069545,9,"111,E 58TH ST,NY"
"35",50036062,"SECARA","MANHATTAN",234,"E 4TH ST",10009,2019204389,1,"234,E 4TH ST,NY"
"36",50007421,"MCDONALD'S","BROOKLYN",1467,"ROCKAWAY PKWY",11236,2019543134,5,"1467,ROCKAWAY PKWY,NY"
"37",50040648,"DELANEY CHICKEN (URBAN SPACE)","MANHATTAN",230,"PARK AVE",10169,2019810997,3,"230,PARK AVE,NY"
"38",50037935,"SONO UCHI SUSHI","MANHATTAN",381,"LENOX AVE",10027,2019840123,9,"381,LENOX AVE,NY"
"39",50041819,"CAFE HENRIE","MANHATTAN",116,"FORSYTH ST",10002,2022108019,1,"116,FORSYTH ST,NY"
"40",50043865,"HUNGRY GHOST COFFEE BAR AND CAFE AT TISCH","MANHATTAN",721,"BROADWAY",10003,2022706688,1,"721,BROADWAY,NY"
"41",41629670,"DUNKIN' DONUTS","QUEENS",0,"JFK INTERNATIONAL AIRPORT",11430,2022861788,9,"0,JFK INTERNATIONAL AIRPORT,NY"
